"filename", "language", "Python", "CSS", "XML", "JavaScript", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\carso\GitHub\Website\static\admin\css\base.64976e0f7339.css", "CSS", 0, -904, 0, 0, 0, 0, 0, -24, -211, -1139
"c:\Users\carso\GitHub\Website\static\admin\css\base.css", "CSS", 0, -904, 0, 0, 0, 0, 0, -24, -211, -1139
"c:\Users\carso\GitHub\Website\static\admin\css\changelists.9237a1ac391b.css", "CSS", 0, -260, 0, 0, 0, 0, 0, -8, -61, -329
"c:\Users\carso\GitHub\Website\static\admin\css\changelists.css", "CSS", 0, -260, 0, 0, 0, 0, 0, -8, -61, -329
"c:\Users\carso\GitHub\Website\static\admin\css\changelists.f4631a29abad.css", "CSS", 0, -260, 0, 0, 0, 0, 0, -8, -61, -329
"c:\Users\carso\GitHub\Website\static\admin\css\dark_mode.css", "CSS", 0, -104, 0, 0, 0, 0, 0, -6, -28, -138
"c:\Users\carso\GitHub\Website\static\admin\css\dark_mode.ef27a31af300.css", "CSS", 0, -104, 0, 0, 0, 0, 0, -6, -28, -138
"c:\Users\carso\GitHub\Website\static\admin\css\dashboard.css", "CSS", 0, -21, 0, 0, 0, 0, 0, -2, -7, -30
"c:\Users\carso\GitHub\Website\static\admin\css\dashboard.e90f2068217b.css", "CSS", 0, -21, 0, 0, 0, 0, 0, -2, -7, -30
"c:\Users\carso\GitHub\Website\static\admin\css\forms.334b7289c8eb.css", "CSS", 0, -415, 0, 0, 0, 0, 0, -11, -105, -531
"c:\Users\carso\GitHub\Website\static\admin\css\forms.3b181cba6653.css", "CSS", 0, -415, 0, 0, 0, 0, 0, -11, -105, -531
"c:\Users\carso\GitHub\Website\static\admin\css\forms.671bb36e43e3.css", "CSS", 0, -413, 0, 0, 0, 0, 0, -11, -105, -529
"c:\Users\carso\GitHub\Website\static\admin\css\forms.css", "CSS", 0, -415, 0, 0, 0, 0, 0, -11, -105, -531
"c:\Users\carso\GitHub\Website\static\admin\css\login.586129c60a93.css", "CSS", 0, -49, 0, 0, 0, 0, 0, -1, -12, -62
"c:\Users\carso\GitHub\Website\static\admin\css\login.css", "CSS", 0, -49, 0, 0, 0, 0, 0, -1, -12, -62
"c:\Users\carso\GitHub\Website\static\admin\css\nav_sidebar.269a1bd44627.css", "CSS", 0, -120, 0, 0, 0, 0, 0, 0, -25, -145
"c:\Users\carso\GitHub\Website\static\admin\css\nav_sidebar.css", "CSS", 0, -120, 0, 0, 0, 0, 0, 0, -25, -145
"c:\Users\carso\GitHub\Website\static\admin\css\responsive.107cd2690311.css", "CSS", 0, -749, 0, 0, 0, 0, 0, -28, -222, -999
"c:\Users\carso\GitHub\Website\static\admin\css\responsive.css", "CSS", 0, -749, 0, 0, 0, 0, 0, -28, -222, -999
"c:\Users\carso\GitHub\Website\static\admin\css\responsive_rtl.97b066429fd8.css", "CSS", 0, -64, 0, 0, 0, 0, 0, -2, -16, -82
"c:\Users\carso\GitHub\Website\static\admin\css\responsive_rtl.css", "CSS", 0, -64, 0, 0, 0, 0, 0, -2, -16, -82
"c:\Users\carso\GitHub\Website\static\admin\css\rtl.4685390ad96d.css", "CSS", 0, -219, 0, 0, 0, 0, 0, -8, -62, -289
"c:\Users\carso\GitHub\Website\static\admin\css\rtl.ac25b2aecb6e.css", "CSS", 0, -217, 0, 0, 0, 0, 0, -8, -62, -287
"c:\Users\carso\GitHub\Website\static\admin\css\rtl.css", "CSS", 0, -219, 0, 0, 0, 0, 0, -8, -62, -289
"c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\LICENSE-SELECT2.f94142512c91.md", "Markdown", 0, 0, 0, 0, 0, 0, -17, 0, -5, -22
"c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 0, -17, 0, -5, -22
"c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\select2.a2194c262648.css", "CSS", 0, -425, 0, 0, 0, 0, 0, 0, -57, -482
"c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\select2.css", "CSS", 0, -425, 0, 0, 0, 0, 0, 0, -57, -482
"c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\select2.min.9f54e6414f87.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\select2.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\carso\GitHub\Website\static\admin\css\widgets.0a3765e806b3.css", "CSS", 0, -492, 0, 0, 0, 0, 0, -9, -103, -604
"c:\Users\carso\GitHub\Website\static\admin\css\widgets.css", "CSS", 0, -492, 0, 0, 0, 0, 0, -9, -103, -604
"c:\Users\carso\GitHub\Website\static\admin\img\calendar-icons.39b290681a8b.svg", "XML", 0, 0, -14, 0, 0, 0, 0, 0, -1, -15
"c:\Users\carso\GitHub\Website\static\admin\img\calendar-icons.svg", "XML", 0, 0, -14, 0, 0, 0, 0, 0, -1, -15
"c:\Users\carso\GitHub\Website\static\admin\img\gis\move_vertex_off.7a23bf31ef8a.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\carso\GitHub\Website\static\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\carso\GitHub\Website\static\admin\img\gis\move_vertex_on.0047eba25b67.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\carso\GitHub\Website\static\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\carso\GitHub\Website\static\admin\img\icon-addlink.d519b3bab011.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-addlink.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
