Date : 2023-11-06 17:06:25
Directory : c:\Users\carso\GitHub\Website\static
Total : 352 files,  54259 codes, 8665 comments, 11885 blanks, all 74809 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-no.439e821418cd.svg                                         | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-no.svg                                                      | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown-alt.81536e128bb6.svg                                | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown-alt.svg                                             | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown.a18cb4398978.svg                                    | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-viewlink.41eb31f7826e.svg                                   | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-viewlink.svg                                                | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-yes.d2f9f035226a.svg                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-yes.svg                                                     | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\inline-delete.fec1b761f254.svg                                   | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\inline-delete.svg                                                | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\search.7cf54ff789c6.svg                                          | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\search.svg                                                       | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\selector-icons.b4555096cea2.svg                                  | XML        |         34 |          0 |          1 |         35 |
| c:\Users\carso\GitHub\Website\static\admin\img\selector-icons.svg                                               | XML        |         34 |          0 |          1 |         35 |
| c:\Users\carso\GitHub\Website\static\admin\img\sorting-icons.3a097b59f104.svg                                   | XML        |         19 |          0 |          1 |         20 |
| c:\Users\carso\GitHub\Website\static\admin\img\sorting-icons.svg                                                | XML        |         19 |          0 |          1 |         20 |
| c:\Users\carso\GitHub\Website\static\admin\img\tooltag-add.e59d620a9742.svg                                     | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\tooltag-add.svg                                                  | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\tooltag-arrowright.bbfb788a849e.svg                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\tooltag-arrowright.svg                                           | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\js\SelectBox.7d3ce5a98007.js                                         | JavaScript |        111 |          5 |          1 |        117 |
| c:\Users\carso\GitHub\Website\static\admin\js\SelectBox.js                                                      | JavaScript |        111 |          5 |          1 |        117 |
| c:\Users\carso\GitHub\Website\static\admin\js\SelectFilter2.bdb8d0cc579e.js                                     | JavaScript |        234 |         26 |         24 |        284 |
| c:\Users\carso\GitHub\Website\static\admin\js\SelectFilter2.js                                                  | JavaScript |        234 |         26 |         24 |        284 |
| c:\Users\carso\GitHub\Website\static\admin\js\actions.eac7e3441574.js                                           | JavaScript |        174 |          7 |         21 |        202 |
| c:\Users\carso\GitHub\Website\static\admin\js\actions.js                                                        | JavaScript |        174 |          7 |         21 |        202 |
| c:\Users\carso\GitHub\Website\static\admin\js\admin\DateTimeShortcuts.9f6e209cebca.js                           | JavaScript |        317 |         65 |         27 |        409 |
| c:\Users\carso\GitHub\Website\static\admin\js\admin\DateTimeShortcuts.js                                        | JavaScript |        317 |         65 |         27 |        409 |
| c:\Users\carso\GitHub\Website\static\admin\js\admin\RelatedObjectLookups.8609f99b9ab2.js                        | JavaScript |        203 |         13 |         23 |        239 |
| c:\Users\carso\GitHub\Website\static\admin\js\admin\RelatedObjectLookups.js                                     | JavaScript |        203 |         13 |         23 |        239 |
| c:\Users\carso\GitHub\Website\static\admin\js\autocomplete.01591ab27be7.js                                      | JavaScript |         28 |          2 |          4 |         34 |
| c:\Users\carso\GitHub\Website\static\admin\js\autocomplete.js                                                   | JavaScript |         28 |          2 |          4 |         34 |
| c:\Users\carso\GitHub\Website\static\admin\js\calendar.f8a5d055eb33.js                                          | JavaScript |        178 |         28 |         16 |        222 |
| c:\Users\carso\GitHub\Website\static\admin\js\calendar.js                                                       | JavaScript |        178 |         28 |         16 |        222 |
| c:\Users\carso\GitHub\Website\static\admin\js\cancel.ecc4c5ca7b32.js                                            | JavaScript |         24 |          3 |          3 |         30 |
| c:\Users\carso\GitHub\Website\static\admin\js\cancel.js                                                         | JavaScript |         24 |          3 |          3 |         30 |
| c:\Users\carso\GitHub\Website\static\admin\js\change_form.9d8ca4f96b75.js                                       | JavaScript |         14 |          2 |          1 |         17 |
| c:\Users\carso\GitHub\Website\static\admin\js\change_form.js                                                    | JavaScript |         14 |          2 |          1 |         17 |
| c:\Users\carso\GitHub\Website\static\admin\js\collapse.f84e7410290f.js                                          | JavaScript |         37 |          6 |          1 |         44 |
| c:\Users\carso\GitHub\Website\static\admin\js\collapse.js                                                       | JavaScript |         37 |          6 |          1 |         44 |
| c:\Users\carso\GitHub\Website\static\admin\js\core.cf103cd04ebf.js                                              | JavaScript |        136 |         19 |         16 |        171 |
| c:\Users\carso\GitHub\Website\static\admin\js\core.js                                                           | JavaScript |        136 |         19 |         16 |        171 |
| c:\Users\carso\GitHub\Website\static\admin\js\filters.0e360b7a9f80.js                                           | JavaScript |         20 |          6 |          5 |         31 |
| c:\Users\carso\GitHub\Website\static\admin\js\filters.js                                                        | JavaScript |         20 |          6 |          5 |         31 |
| c:\Users\carso\GitHub\Website\static\admin\js\inlines.22d4d93c00b4.js                                           | JavaScript |        272 |         61 |         27 |        360 |
| c:\Users\carso\GitHub\Website\static\admin\js\inlines.js                                                        | JavaScript |        272 |         61 |         27 |        360 |
| c:\Users\carso\GitHub\Website\static\admin\js\jquery.init.b7781a0897fc.js                                       | JavaScript |          2 |          6 |          1 |          9 |
| c:\Users\carso\GitHub\Website\static\admin\js\jquery.init.js                                                    | JavaScript |          2 |          6 |          1 |          9 |
| c:\Users\carso\GitHub\Website\static\admin\js\nav_sidebar.3b9190d420b1.js                                       | JavaScript |         73 |          1 |          6 |         80 |
| c:\Users\carso\GitHub\Website\static\admin\js\nav_sidebar.js                                                    | JavaScript |         73 |          1 |          6 |         80 |
| c:\Users\carso\GitHub\Website\static\admin\js\popup_response.c6cc78ea5551.js                                    | JavaScript |         15 |          1 |          1 |         17 |
| c:\Users\carso\GitHub\Website\static\admin\js\popup_response.js                                                 | JavaScript |         15 |          1 |          1 |         17 |
| c:\Users\carso\GitHub\Website\static\admin\js\prepopulate.bd2361dfd64d.js                                       | JavaScript |         29 |         10 |          5 |         44 |
| c:\Users\carso\GitHub\Website\static\admin\js\prepopulate.js                                                    | JavaScript |         29 |         10 |          5 |         44 |
| c:\Users\carso\GitHub\Website\static\admin\js\prepopulate_init.6cac7f3105b8.js                                  | JavaScript |         15 |          0 |          1 |         16 |
